A S Madhukumar,Machine Learning-based Interference Mitigation in a Multi-tier Networks,null
A S Madhukumar,Deep Learning-Driven Edge Caching for 5G-and-Beyond Industrial IoT Networks,null
Alexei Sourin,Sonification of geometry 1,null
Arvind Easwaran,Edge/Cloud Resource Management for Time-Sensitive Applications (2),null
Bo An,Deep Reinforcement Learning for Complex Environment,null
Bo An,Build Software Agents for Power Trading Agent Competition,null
Bo An,Designing Negotiation Agents to Parcitipate in International Competition,null
Cai Wentong,Creation of Meta-model for Agent-based Simulation Using Machine Learning Approach,null
Chen Change Loy,Encoding Images to Text Prompts with CLIP,null
Chia Liang Tien,Smart Monitor for Studio Photographer,null
Cong Gao,Developing a demonstration system for spatial data exploration and visualization ,null
Cong Gao,Deep Learning Supported Location-aware Keyword Query,null
Douglas Leslie Maskell,An AI based Li-ion fast battery charger for power tools,null
Douglas Leslie Maskell,A Li-ion fast battery charger,null
Dusit Niyato,Metaverse for virtual education 1,null
Ke Yiping Kelly,Graph-based Deep Models for Image Semantic Segmentation,null
